사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2018-09,1호선,0150,서울역,"1,420,106","1,340,108","208,948","201,761",2018-10-03 13:33:03
2018-09,1호선,0151,시청,"606,761","603,076","110,556","110,226",2018-10-03 13:33:03
2018-09,1호선,0152,종각,"1,042,113","1,003,617","145,046","135,718",2018-10-03 13:33:03
2018-09,1호선,0153,종로3가,"607,411","561,248","360,506","336,444",2018-10-03 13:33:03
2018-09,1호선,0154,종로5가,"459,171","476,706","252,211","242,398",2018-10-03 13:33:03
2018-09,1호선,0155,동대문,"325,486","371,065","127,922","132,471",2018-10-03 13:33:03
2018-09,1호선,0156,신설동,"335,311","330,019","117,134","111,852",2018-10-03 13:33:03
2018-09,1호선,0157,제기동,"271,607","267,108","358,897","386,589",2018-10-03 13:33:03
2018-09,1호선,0158,청량리(서울시립대입구),"460,399","482,471","334,363","344,997",2018-10-03 13:33:03
2018-09,1호선,0159,동묘앞,"180,743","200,329","152,019","154,759",2018-10-03 13:33:03
2018-09,2호선,0201,시청,"608,825","580,362","57,799","54,847",2018-10-03 13:33:03
2018-09,2호선,0202,을지로입구,"1,281,799","1,267,647","106,494","97,777",2018-10-03 13:33:03
2018-09,2호선,0203,을지로3가,"514,359","501,086","82,770","82,504",2018-10-03 13:33:03
2018-09,2호선,0204,을지로4가,"258,147","258,329","88,853","85,999",2018-10-03 13:33:03
2018-09,2호선,0205,동대문역사문화공원,"509,857","563,207","57,168","58,933",2018-10-03 13:33:03
2018-09,2호선,0206,신당,"329,791","344,616","98,631","101,110",2018-10-03 13:33:03
2018-09,2호선,0207,상왕십리,"337,250","317,816","63,487","64,423",2018-10-03 13:33:03
2018-09,2호선,0208,왕십리(성동구청),"512,707","411,883","56,500","47,609",2018-10-03 13:33:03
2018-09,2호선,0209,한양대,"323,187","380,961","14,441","15,738",2018-10-03 13:33:03
2018-09,2호선,0210,뚝섬,"428,440","458,494","59,915","60,308",2018-10-03 13:33:03
2018-09,2호선,0211,성수,"627,451","692,426","92,994","94,535",2018-10-03 13:33:03
2018-09,2호선,0212,건대입구,"1,183,723","1,313,393","91,083","95,028",2018-10-03 13:33:03
2018-09,2호선,0213,구의(광진구청),"565,437","541,383","100,067","101,484",2018-10-03 13:33:03
2018-09,2호선,0214,강변(동서울터미널),"1,217,844","1,212,923","144,817","142,958",2018-10-03 13:33:03
2018-09,2호선,0215,잠실나루,"384,523","369,350","84,520","85,412",2018-10-03 13:33:03
2018-09,2호선,0216,잠실(송파구청),"2,308,510","2,194,577","218,946","207,250",2018-10-03 13:33:03
2018-09,2호선,0217,잠실새내,"615,541","626,540","113,175","111,606",2018-10-03 13:33:03
2018-09,2호선,0218,종합운동장,"409,880","475,872","55,126","58,398",2018-10-03 13:33:03
