사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2018-03,1호선,0150,서울역,"1,455,338","1,409,090","228,041","228,549",2018-04-03 12:32:16
2018-03,1호선,0151,시청,"661,782","651,853","111,157","110,453",2018-04-03 12:32:16
2018-03,1호선,0152,종각,"1,236,445","1,165,666","170,206","157,065",2018-04-03 12:32:16
2018-03,1호선,0153,종로3가,"698,691","647,801","401,375","371,373",2018-04-03 12:32:16
2018-03,1호선,0154,종로5가,"557,447","574,236","302,624","289,005",2018-04-03 12:32:16
2018-03,1호선,0155,동대문,"344,838","395,555","144,807","151,080",2018-04-03 12:32:16
2018-03,1호선,0156,신설동,"389,298","382,812","132,858","129,306",2018-04-03 12:32:16
2018-03,1호선,0157,제기동,"303,632","297,426","349,589","371,170",2018-04-03 12:32:16
2018-03,1호선,0158,청량리(서울시립대입구),"523,932","549,266","332,933","335,317",2018-04-03 12:32:16
2018-03,1호선,0159,동묘앞,"186,399","202,307","161,159","162,609",2018-04-03 12:32:16
2018-03,2호선,0201,시청,"704,871","674,590","67,465","62,896",2018-04-03 12:32:16
2018-03,2호선,0202,을지로입구,"1,462,219","1,449,700","123,805","113,177",2018-04-03 12:32:16
2018-03,2호선,0203,을지로3가,"576,045","560,362","94,921","93,713",2018-04-03 12:32:16
2018-03,2호선,0204,을지로4가,"299,877","297,393","97,514","93,016",2018-04-03 12:32:16
2018-03,2호선,0205,동대문역사문화공원,"540,948","620,954","64,548","69,437",2018-04-03 12:32:16
2018-03,2호선,0206,신당,"378,721","398,422","111,562","113,741",2018-04-03 12:32:16
2018-03,2호선,0207,상왕십리,"375,885","354,556","71,020","72,102",2018-04-03 12:32:16
2018-03,2호선,0208,왕십리(성동구청),"591,685","468,184","62,080","52,079",2018-04-03 12:32:16
2018-03,2호선,0209,한양대,"404,545","482,801","16,731","18,039",2018-04-03 12:32:16
2018-03,2호선,0210,뚝섬,"476,502","510,221","68,513","69,123",2018-04-03 12:32:16
2018-03,2호선,0211,성수,"741,914","813,283","108,149","110,481",2018-04-03 12:32:16
2018-03,2호선,0212,건대입구,"1,394,861","1,528,083","102,806","107,635",2018-04-03 12:32:16
2018-03,2호선,0213,구의(광진구청),"649,073","624,785","112,520","114,767",2018-04-03 12:32:16
2018-03,2호선,0214,강변(동서울터미널),"1,327,074","1,297,188","150,927","147,049",2018-04-03 12:32:16
2018-03,2호선,0215,잠실나루,"447,474","425,571","95,463","96,071",2018-04-03 12:32:16
2018-03,2호선,0216,잠실(송파구청),"2,514,484","2,378,714","236,514","223,848",2018-04-03 12:32:16
2018-03,2호선,0217,잠실새내,"721,478","728,065","126,809","124,989",2018-04-03 12:32:16
2018-03,2호선,0218,종합운동장,"379,251","429,106","56,021","58,689",2018-04-03 12:32:16
2018-03,2호선,0219,삼성(무역센터),"1,684,625","1,737,658","131,921","124,879",2018-04-03 12:32:16
2018-03,2호선,0220,선릉,"1,492,095","1,278,236","224,007","194,061",2018-04-03 12:32:16
2018-03,2호선,0221,역삼,"1,287,032","1,442,800","158,222","161,147",2018-04-03 12:32:16
2018-03,2호선,0222,강남,"3,034,426","3,090,108","183,497","166,070",2018-04-03 12:32:16
2018-03,2호선,0223,교대(법원.검찰청),"986,389","1,118,757","179,200","201,169",2018-04-03 12:32:16
2018-03,2호선,0224,서초,"637,541","630,965","94,228","92,879",2018-04-03 12:32:16
2018-03,2호선,0225,방배,"609,333","626,509","87,264","87,015",2018-04-03 12:32:16
2018-03,2호선,0226,사당,"1,128,276","1,388,443","223,582","211,688",2018-04-03 12:32:16
2018-03,2호선,0227,낙성대,"864,570","822,802","117,594","118,719",2018-04-03 12:32:16
2018-03,2호선,0228,서울대입구(관악구청),"1,525,004","1,469,996","220,064","212,375",2018-04-03 12:32:16
2018-03,2호선,0229,봉천,"597,792","539,402","158,677","159,991",2018-04-03 12:32:16
2018-03,2호선,0230,신림,"1,985,706","1,940,113","256,962","264,374",2018-04-03 12:32:16
2018-03,2호선,0231,신대방,"773,266","723,224","139,879","141,886",2018-04-03 12:32:16
2018-03,2호선,0232,구로디지털단지,"1,803,465","1,799,351","178,348","181,236",2018-04-03 12:32:16
2018-03,2호선,0233,대림(구로구청),"825,496","848,252","123,373","128,806",2018-04-03 12:32:16
2018-03,2호선,0234,신도림,"1,709,060","1,711,377","221,529","212,538",2018-04-03 12:32:16
2018-03,2호선,0235,문래,"526,025","536,334","90,157","89,546",2018-04-03 12:32:16
2018-03,2호선,0236,영등포구청,"583,438","597,526","110,842","109,192",2018-04-03 12:32:16
2018-03,2호선,0237,당산,"603,961","688,279","72,675","79,271",2018-04-03 12:32:16
2018-03,2호선,0238,합정,"982,177","1,069,441","78,093","79,515",2018-04-03 12:32:16
2018-03,2호선,0239,홍대입구,"2,470,011","2,649,978","122,278","118,576",2018-04-03 12:32:16
2018-03,2호선,0240,신촌,"1,493,965","1,515,286","149,123","146,889",2018-04-03 12:32:16
2018-03,2호선,0241,이대,"642,722","689,700","71,935","72,599",2018-04-03 12:32:16
2018-03,2호선,0242,아현,"275,754","269,046","67,642","67,461",2018-04-03 12:32:16
2018-03,2호선,0243,충정로(경기대입구),"306,366","330,737","57,243","56,787",2018-04-03 12:32:16
2018-03,2호선,0244,용답,"72,242","75,415","18,121","17,940",2018-04-03 12:32:16
2018-03,2호선,0245,신답,"34,476","38,823","10,985","11,891",2018-04-03 12:32:16
2018-03,2호선,0246,신설동,"106,589","101,498","42,787","43,370",2018-04-03 12:32:16
2018-03,2호선,0247,도림천,"31,239","35,222","6,580","7,243",2018-04-03 12:32:16
2018-03,2호선,0248,양천구청,"175,775","184,377","47,497","49,127",2018-04-03 12:32:16
