사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2018-05,1호선,0150,서울역,"1,461,377","1,425,288","230,474","226,668",2018-06-03 12:32:49
2018-05,1호선,0151,시청,"661,526","657,566","98,996","97,886",2018-06-03 12:32:49
2018-05,1호선,0152,종각,"1,181,827","1,114,841","165,112","155,377",2018-06-03 12:32:49
2018-05,1호선,0153,종로3가,"698,084","640,950","389,914","362,722",2018-06-03 12:32:49
2018-05,1호선,0154,종로5가,"538,824","548,201","294,157","282,348",2018-06-03 12:32:49
2018-05,1호선,0155,동대문,"345,200","393,666","143,836","150,932",2018-06-03 12:32:49
2018-05,1호선,0156,신설동,"378,709","370,725","126,830","123,295",2018-06-03 12:32:49
2018-05,1호선,0157,제기동,"300,639","293,913","346,736","368,445",2018-06-03 12:32:49
2018-05,1호선,0158,청량리(서울시립대입구),"510,062","535,905","333,179","337,733",2018-06-03 12:32:49
2018-05,1호선,0159,동묘앞,"181,775","197,823","155,989","158,013",2018-06-03 12:32:49
2018-05,2호선,0201,시청,"686,940","664,119","60,258","55,324",2018-06-03 12:32:49
2018-05,2호선,0202,을지로입구,"1,407,421","1,398,140","117,649","108,861",2018-06-03 12:32:49
2018-05,2호선,0203,을지로3가,"562,387","547,337","91,331","91,080",2018-06-03 12:32:49
2018-05,2호선,0204,을지로4가,"294,823","295,375","97,669","93,827",2018-06-03 12:32:49
2018-05,2호선,0205,동대문역사문화공원,"537,265","616,883","64,590","69,828",2018-06-03 12:32:49
2018-05,2호선,0206,신당,"371,850","388,926","108,234","110,090",2018-06-03 12:32:49
2018-05,2호선,0207,상왕십리,"374,919","352,867","70,694","71,869",2018-06-03 12:32:49
2018-05,2호선,0208,왕십리(성동구청),"579,489","461,517","60,871","51,717",2018-06-03 12:32:49
2018-05,2호선,0209,한양대,"411,184","486,136","16,539","17,792",2018-06-03 12:32:49
2018-05,2호선,0210,뚝섬,"476,425","510,726","67,462","67,897",2018-06-03 12:32:49
2018-05,2호선,0211,성수,"724,640","798,664","111,356","113,681",2018-06-03 12:32:49
2018-05,2호선,0212,건대입구,"1,391,432","1,522,896","101,256","106,415",2018-06-03 12:32:49
2018-05,2호선,0213,구의(광진구청),"639,040","615,083","109,680","111,513",2018-06-03 12:32:49
2018-05,2호선,0214,강변(동서울터미널),"1,335,767","1,320,412","155,330","151,345",2018-06-03 12:32:49
2018-05,2호선,0215,잠실나루,"445,934","427,509","94,993","95,884",2018-06-03 12:32:49
2018-05,2호선,0216,잠실(송파구청),"2,561,842","2,423,017","245,676","230,863",2018-06-03 12:32:49
2018-05,2호선,0217,잠실새내,"719,741","733,490","127,075","125,401",2018-06-03 12:32:49
2018-05,2호선,0218,종합운동장,"561,658","647,944","65,567","70,735",2018-06-03 12:32:49
2018-05,2호선,0219,삼성(무역센터),"1,674,189","1,729,143","128,137","119,943",2018-06-03 12:32:49
2018-05,2호선,0220,선릉,"1,451,512","1,245,341","215,416","187,280",2018-06-03 12:32:49
2018-05,2호선,0221,역삼,"1,230,287","1,377,594","153,224","156,591",2018-06-03 12:32:49
2018-05,2호선,0222,강남,"2,915,639","2,963,558","177,181","159,159",2018-06-03 12:32:49
2018-05,2호선,0223,교대(법원.검찰청),"954,395","1,084,402","168,025","187,699",2018-06-03 12:32:49
2018-05,2호선,0224,서초,"608,358","606,473","90,464","91,334",2018-06-03 12:32:49
2018-05,2호선,0225,방배,"581,762","598,776","84,371","83,846",2018-06-03 12:32:49
2018-05,2호선,0226,사당,"1,076,905","1,345,626","210,906","204,010",2018-06-03 12:32:49
2018-05,2호선,0227,낙성대,"845,597","807,415","117,396","118,879",2018-06-03 12:32:49
2018-05,2호선,0228,서울대입구(관악구청),"1,487,611","1,438,004","216,361","209,331",2018-06-03 12:32:49
2018-05,2호선,0229,봉천,"596,436","536,889","156,219","157,331",2018-06-03 12:32:49
2018-05,2호선,0230,신림,"1,955,687","1,902,132","253,495","260,176",2018-06-03 12:32:49
2018-05,2호선,0231,신대방,"784,441","732,818","140,986","142,860",2018-06-03 12:32:49
2018-05,2호선,0232,구로디지털단지,"1,764,337","1,753,688","177,987","180,441",2018-06-03 12:32:49
2018-05,2호선,0233,대림(구로구청),"822,694","846,561","122,003","126,872",2018-06-03 12:32:49
2018-05,2호선,0234,신도림,"1,645,745","1,647,085","213,109","204,647",2018-06-03 12:32:49
2018-05,2호선,0235,문래,"512,930","522,285","87,818","87,662",2018-06-03 12:32:49
2018-05,2호선,0236,영등포구청,"566,091","577,624","107,200","106,189",2018-06-03 12:32:49
2018-05,2호선,0237,당산,"596,623","677,872","71,711","78,118",2018-06-03 12:32:49
2018-05,2호선,0238,합정,"958,698","1,044,731","77,414","78,895",2018-06-03 12:32:49
2018-05,2호선,0239,홍대입구,"2,427,700","2,598,443","119,746","116,691",2018-06-03 12:32:49
2018-05,2호선,0240,신촌,"1,421,635","1,460,389","144,952","144,670",2018-06-03 12:32:49
2018-05,2호선,0241,이대,"611,373","655,495","69,373","70,490",2018-06-03 12:32:49
2018-05,2호선,0242,아현,"276,475","266,335","68,131","67,679",2018-06-03 12:32:49
2018-05,2호선,0243,충정로(경기대입구),"294,417","318,543","55,138","54,725",2018-06-03 12:32:49
2018-05,2호선,0244,용답,"72,065","74,347","17,616","17,543",2018-06-03 12:32:49
2018-05,2호선,0245,신답,"33,893","38,146","10,744","11,672",2018-06-03 12:32:49
2018-05,2호선,0246,신설동,"99,767","93,675","37,684","38,968",2018-06-03 12:32:49
2018-05,2호선,0247,도림천,"28,196","31,785","6,479","7,184",2018-06-03 12:32:49
2018-05,2호선,0248,양천구청,"174,879","183,023","47,335","48,711",2018-06-03 12:32:49
2018-05,2호선,0249,신정네거리,"240,853","245,730","68,951","70,104",2018-06-03 12:32:49
2018-05,2호선,0250,용두(동대문구청),"49,812","49,973","23,834","25,382",2018-06-03 12:32:49
2018-05,3호선,0309,지축,"30,236","32,413","12,311","14,758",2018-06-03 12:32:49
2018-05,3호선,0310,구파발,"556,206","514,897","110,434","104,887",2018-06-03 12:32:49
2018-05,3호선,0311,연신내,"1,075,132","1,006,852","287,351","277,044",2018-06-03 12:32:49
2018-05,3호선,0312,불광,"461,377","507,008","159,064","175,118",2018-06-03 12:32:49
2018-05,3호선,0313,녹번,"347,224","294,039","68,342","66,638",2018-06-03 12:32:49
2018-05,3호선,0314,홍제,"484,062","454,297","159,548","158,150",2018-06-03 12:32:49
2018-05,3호선,0315,무악재,"94,226","96,570","33,108","35,521",2018-06-03 12:32:49
